task_id,work_id,start_time,end_time,music,finished,interruptions,noise,meetings,breaks,progress
3000.0,1261985930.0,1541317698851.0,1541317699353.0,0.0,0.0,9.0,0.0,1.0,13.0,0.5741526191563968
3001.0,4189959608.0,1541317697948.0,1541317698616.0,1.0,0.0,1.0,0.0,0.0,8.0,0.9827191461918436
3002.0,1209846820.0,1541317698541.0,1541317699776.0,0.0,0.0,0.0,0.10689953677731055,2.0,11.0,0.8738838835889505
3003.0,3031991894.0,1541317698245.0,1541317699435.0,1.0,0.0,3.0,0.0,2.0,6.0,0.9082268942410675
3004.0,431630977.0,1541317698397.0,1541317699246.0,1.0,0.0,4.0,0.0,3.0,10.0,0.795298613132823
3005.0,1082268995.0,1541317698764.0,1541317699345.0,0.0,0.0,3.0,0.0,0.0,7.0,0.5887867085077791
3006.0,3636316620.0,1541317698205.0,1541317699095.0,0.0,0.0,3.0,0.7073835692026007,5.0,6.0,0.5045867762704792
3007.0,2775595986.0,1541317699415.0,1541317700069.0,0.0,0.0,4.0,0.0,3.0,7.0,0.980239907194411
3008.0,3411784770.0,1541317698850.0,1541317699181.0,1.0,0.0,2.0,0.3913317782288511,7.0,1.0,0.764042368121511
3009.0,1471152483.0,1541317699253.0,1541317699423.0,0.0,0.0,0.0,0.0,2.0,7.0,0.684737639280703
3010.0,3456839220.0,1541317698518.0,1541317699372.0,1.0,0.0,3.0,0.0,1.0,5.0,0.5829022840159508
3011.0,3686402659.0,1541317698675.0,1541317698971.0,0.0,0.0,4.0,0.20608636090281776,5.0,2.0,0.9616798960763683
3012.0,123486703.0,1541317699032.0,1541317700174.0,1.0,0.0,3.0,0.1503814677842336,0.0,1.0,0.5578456775106673
3013.0,3159609058.0,1541317700061.0,1541317700393.0,0.0,0.0,3.0,0.0,7.0,3.0,1.0
3014.0,3784188419.0,1541317698395.0,1541317698411.0,1.0,0.0,4.0,0.0,5.0,4.0,0.7172382109915203
3015.0,1611088829.0,1541317698721.0,1541317698627.0,0.0,0.0,2.0,0.0,2.0,4.0,0.6859128291341504
3016.0,1478841402.0,1541317698683.0,1541317698625.0,0.0,0.0,0.0,0.0,4.0,16.0,0.8025543336995187
3017.0,1039632420.0,1541317699060.0,1541317699718.0,0.0,0.0,4.0,0.523524548592913,0.0,5.0,0.6802917139443011
3018.0,309815167.0,1541317698699.0,1541317700056.0,0.0,0.0,3.0,0.36024055554594014,4.0,6.0,0.6803833493986008
3019.0,600833686.0,1541317698793.0,1541317699649.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
3020.0,2982861748.0,1541317698431.0,1541317699323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6154785544557244
3021.0,4220627713.0,1541317698142.0,1541317698446.0,0.0,0.0,2.0,0.0,10.0,4.0,0.5032678025111699
3022.0,2610296001.0,1541317699237.0,1541317699823.0,0.0,0.0,1.0,0.6392739887184273,0.0,14.0,0.9449947684306956
3023.0,1855014385.0,1541317698744.0,1541317699732.0,1.0,0.0,4.0,0.2634571096707157,1.0,6.0,0.2782197663216791
3024.0,3472494792.0,1541317699141.0,1541317699173.0,1.0,0.0,4.0,0.8304387761936993,0.0,11.0,0.536970955395923
3025.0,923612406.0,1541317698421.0,1541317698527.0,0.0,0.0,0.0,0.6845284044594597,3.0,7.0,0.896638757009394
3026.0,2020839506.0,1541317698427.0,1541317699177.0,0.0,0.0,5.0,0.48848760637178246,6.0,5.0,0.8157587541508671
3027.0,1107299802.0,1541317698702.0,1541317699603.0,1.0,0.0,6.0,0.29507040073541985,1.0,0.0,0.8972495095655033
3028.0,2621898972.0,1541317698858.0,1541317699607.0,0.0,0.0,4.0,0.0,1.0,6.0,0.5854309844260259
3029.0,3284254286.0,1541317698854.0,1541317699357.0,0.0,0.0,4.0,0.6509296249670443,4.0,4.0,0.8051832944234776
3030.0,3851718865.0,1541317698208.0,1541317698314.0,0.0,0.0,3.0,1.0,5.0,4.0,0.692404542067317
3031.0,1368935878.0,1541317698568.0,1541317699006.0,1.0,0.0,4.0,0.26118643734708447,7.0,11.0,0.5593044442236736
3032.0,1182629811.0,1541317698590.0,1541317698666.0,0.0,0.0,3.0,0.0,1.0,7.0,0.7308067644545061
3033.0,317674090.0,1541317698764.0,1541317699144.0,0.0,0.0,1.0,0.0,1.0,2.0,0.8776544645374513
3034.0,1286172887.0,1541317698585.0,1541317699374.0,1.0,0.0,0.0,0.1821615913029206,3.0,13.0,0.6508413409743119
3035.0,1315037427.0,1541317698743.0,1541317699332.0,1.0,0.0,0.0,0.0,2.0,7.0,0.42109859335598737
3036.0,3113710927.0,1541317698653.0,1541317698637.0,0.0,0.0,10.0,0.0,1.0,10.0,0.8345135605893568
3037.0,3460885603.0,1541317698371.0,1541317699028.0,0.0,0.0,6.0,0.0,1.0,5.0,0.9758152842814372
3038.0,2971061727.0,1541317698543.0,1541317699544.0,0.0,0.0,1.0,0.0,4.0,3.0,0.7711680829097605
3039.0,3018666960.0,1541317698907.0,1541317699195.0,0.0,0.0,1.0,0.0,0.0,6.0,0.8465436080521582
3040.0,2400898022.0,1541317698451.0,1541317699497.0,1.0,0.0,5.0,0.6706467786854147,0.0,8.0,0.8127786920842245
3041.0,4234833275.0,1541317699493.0,1541317699814.0,0.0,0.0,3.0,0.26736210032791374,0.0,8.0,0.6625094915453241
3042.0,2132859.0,1541317698394.0,1541317698152.0,1.0,0.0,5.0,0.0,3.0,8.0,0.5767658411105069
3043.0,1996842948.0,1541317698444.0,1541317699172.0,0.0,0.0,1.0,0.0,3.0,15.0,1.0
3044.0,2387057488.0,1541317698245.0,1541317698813.0,0.0,0.0,3.0,0.5821086452757664,3.0,3.0,0.5828980341988386
3045.0,1243216630.0,1541317698888.0,1541317699218.0,0.0,0.0,8.0,0.08602522748581734,1.0,0.0,0.7273118968762711
3046.0,3379475120.0,1541317698215.0,1541317699161.0,1.0,0.0,2.0,0.46719952949066423,1.0,4.0,0.4576034745468194
3047.0,2002713053.0,1541317698694.0,1541317698959.0,0.0,0.0,3.0,0.504205820108992,2.0,0.0,0.7847035506753829
3048.0,2798533699.0,1541317698843.0,1541317698775.0,0.0,0.0,5.0,0.0,3.0,16.0,0.7245084975103858
3049.0,2232538264.0,1541317698756.0,1541317698937.0,0.0,0.0,3.0,0.29585130422685846,9.0,1.0,0.3043720295022006
3050.0,437584290.0,1541317698820.0,1541317700445.0,0.0,0.0,5.0,0.6962403666654459,0.0,19.0,0.49501782205083916
3051.0,4290754543.0,1541317698743.0,1541317698794.0,0.0,0.0,8.0,0.0,0.0,5.0,0.6740032436968674
3052.0,2091012822.0,1541317699146.0,1541317700322.0,0.0,0.0,1.0,0.0,1.0,17.0,0.9616627162203326
3053.0,2757918491.0,1541317698045.0,1541317698392.0,1.0,0.0,5.0,1.0,6.0,7.0,0.3899948410352356
3054.0,232430219.0,1541317698860.0,1541317699091.0,1.0,0.0,2.0,0.1110745507224032,1.0,1.0,0.41162039207589285
3055.0,1215004049.0,1541317698607.0,1541317699381.0,0.0,0.0,9.0,0.44668593109938115,1.0,6.0,0.636952332529132
3056.0,13215299.0,1541317698644.0,1541317699431.0,0.0,0.0,3.0,1.0,4.0,4.0,0.658889282895322
3057.0,530033083.0,1541317699071.0,1541317700141.0,1.0,0.0,6.0,0.0,2.0,5.0,0.8699219075619687
3058.0,2588343057.0,1541317699648.0,1541317701030.0,0.0,0.0,3.0,0.21790943520286385,4.0,7.0,0.8413368491717587
3059.0,1636146674.0,1541317698711.0,1541317699733.0,1.0,0.0,3.0,0.40932956743091764,0.0,0.0,0.45255204975778773
3060.0,2521892516.0,1541317699355.0,1541317699439.0,0.0,0.0,6.0,0.6732357358907524,1.0,10.0,0.902472372955857
3061.0,4131494673.0,1541317698443.0,1541317698304.0,0.0,0.0,1.0,0.0,2.0,6.0,0.728427193481876
3062.0,3376479207.0,1541317698667.0,1541317699112.0,1.0,0.0,2.0,0.0,3.0,0.0,0.9920374311445874
3063.0,474509129.0,1541317698761.0,1541317698831.0,0.0,0.0,1.0,0.4673609071191993,2.0,3.0,0.6943667471974986
3064.0,4291070223.0,1541317699396.0,1541317700251.0,0.0,0.0,3.0,0.0,0.0,8.0,0.8445980643110635
3065.0,2885228068.0,1541317698675.0,1541317698676.0,0.0,0.0,8.0,0.0,4.0,2.0,0.9051922244150231
3066.0,466634121.0,1541317698609.0,1541317698976.0,1.0,0.0,8.0,0.28486442667791534,3.0,14.0,0.5715661228554882
3067.0,2779715632.0,1541317698405.0,1541317698716.0,0.0,0.0,4.0,0.2368857371199946,2.0,9.0,0.7116934450815884
3068.0,1630962159.0,1541317698245.0,1541317699331.0,1.0,0.0,0.0,0.5479236187744209,0.0,3.0,0.7729248935275562
3069.0,2865559323.0,1541317698662.0,1541317699003.0,1.0,0.0,1.0,0.2238198965946539,3.0,5.0,0.8501868943568838
3070.0,3944163223.0,1541317699174.0,1541317699830.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9065335902510339
3071.0,2891246888.0,1541317698862.0,1541317698594.0,1.0,0.0,4.0,0.3431371570485663,0.0,7.0,0.5352286866503724
3072.0,965280739.0,1541317698998.0,1541317699766.0,0.0,0.0,1.0,0.0,1.0,4.0,0.7917836132675076
3073.0,985387362.0,1541317698314.0,1541317698957.0,1.0,0.0,2.0,0.0,1.0,7.0,0.6829929091093377
3074.0,481843838.0,1541317698641.0,1541317698908.0,0.0,0.0,0.0,0.0,7.0,4.0,0.3307122967758256
3075.0,189559581.0,1541317698842.0,1541317699283.0,0.0,0.0,0.0,0.0,0.0,13.0,0.893472695311242
3076.0,2232022267.0,1541317698923.0,1541317699807.0,0.0,0.0,1.0,0.6368323632699838,1.0,13.0,0.7826038064427934
