task_id,start_time,end_time,music,num_interruptions,workspace_volume,num_meetings,num_breaks,progress
0.0,1541290912026.0,1541290912568.0,0.0,3.0,1.0,8.0,0.0,0.06200929352351253
1.0,1541290912343.0,1541290912761.0,0.0,12.0,1.0,3.0,4.0,0.4277856701795774
2.0,1541290911804.0,1541290912355.0,0.0,8.0,1.0,4.0,5.0,0.00834612057845563
3.0,1541290911772.0,1541290912294.0,1.0,9.0,0.51283526705037,8.0,5.0,0.11035765788998514
4.0,1541290912595.0,1541290913130.0,1.0,2.0,1.0,7.0,9.0,0.19707816881452386
5.0,1541290911989.0,1541290912752.0,1.0,7.0,0.1711315045815447,0.0,3.0,0.2823614015930455
6.0,1541290912088.0,1541290912874.0,1.0,6.0,1.0,8.0,0.0,0.05133238963105044
7.0,1541290912271.0,1541290913323.0,1.0,10.0,0.6641423195374583,7.0,2.0,0.061769438421172024
8.0,1541290911786.0,1541290912328.0,0.0,8.0,1.0,13.0,7.0,0.09292786469087855
9.0,1541290912091.0,1541290913514.0,1.0,4.0,0.0,7.0,0.0,0.23825349938562404
10.0,1541290912422.0,1541290912216.0,1.0,2.0,1.0,7.0,7.0,0.035139259093829034
11.0,1541290911611.0,1541290912102.0,1.0,7.0,0.21486425884151333,9.0,0.0,0.06027866576039734
12.0,1541290911656.0,1541290911415.0,1.0,6.0,0.7136211864856765,5.0,2.0,0.11280282927901741
13.0,1541290912655.0,1541290912815.0,1.0,3.0,1.0,3.0,4.0,0.10747481117765689
14.0,1541290911767.0,1541290912412.0,1.0,7.0,0.39515794758753964,7.0,1.0,0.37710854948565165
15.0,1541290912223.0,1541290912556.0,1.0,7.0,0.11126132699525504,7.0,3.0,0.03595829326876654
16.0,1541290911770.0,1541290912647.0,1.0,7.0,1.0,7.0,4.0,0.46856014145053393
17.0,1541290911506.0,1541290912258.0,1.0,10.0,0.8893767822786933,10.0,8.0,0.11776518767522724
18.0,1541290911571.0,1541290912166.0,0.0,6.0,0.6222694093332346,5.0,9.0,0.08582833013049838
19.0,1541290912253.0,1541290912564.0,1.0,1.0,0.569383273383128,6.0,0.0,0.008021260068169722
20.0,1541290910690.0,1541290911684.0,0.0,7.0,0.7901639726275252,8.0,6.0,0.0941663312749948
21.0,1541290911024.0,1541290912070.0,0.0,5.0,0.8010202010018658,5.0,2.0,0.17672979376860737
22.0,1541290911976.0,1541290912500.0,0.0,0.0,0.36554333819663437,8.0,2.0,0.2124318536808218
23.0,1541290911524.0,1541290912168.0,0.0,5.0,0.6032045054114249,5.0,3.0,0.25206938756225017
24.0,1541290911593.0,1541290912750.0,1.0,1.0,0.4658508785297426,0.0,5.0,0.11337659701621802
25.0,1541290911678.0,1541290912171.0,1.0,2.0,0.6923978656887542,6.0,11.0,0.37771288959889926
26.0,1541290911849.0,1541290912003.0,0.0,5.0,1.0,8.0,4.0,0.25429510603382444
27.0,1541290911431.0,1541290911642.0,1.0,6.0,0.0,6.0,5.0,0.1413559170099411
28.0,1541290911966.0,1541290912922.0,1.0,9.0,0.45838637789427145,11.0,3.0,0.23351833305914582
29.0,1541290911564.0,1541290912552.0,0.0,10.0,0.6792114878484456,2.0,7.0,0.011022403366943101
30.0,1541290912326.0,1541290912465.0,1.0,6.0,0.46613840484300684,4.0,2.0,0.42738021840651097
31.0,1541290912296.0,1541290912397.0,0.0,4.0,1.0,4.0,1.0,0.38739032118607697
32.0,1541290911736.0,1541290912275.0,0.0,7.0,0.0,5.0,5.0,0.3741972869653582
33.0,1541290911988.0,1541290912791.0,1.0,8.0,0.0,8.0,4.0,0.10039493101307004
34.0,1541290911873.0,1541290912595.0,1.0,5.0,0.5868153977498868,5.0,5.0,0.4355762463856645
35.0,1541290912665.0,1541290912580.0,0.0,6.0,0.8280844331847569,9.0,0.0,0.011619164454717612
36.0,1541290912548.0,1541290912985.0,1.0,7.0,0.3422328358911026,9.0,8.0,0.24460768792061027
37.0,1541290911721.0,1541290912369.0,0.0,5.0,1.0,7.0,1.0,0.34342160266709787
38.0,1541290912142.0,1541290912238.0,1.0,9.0,0.8156342248399847,6.0,0.0,0.11250358787084669
39.0,1541290911259.0,1541290911438.0,1.0,14.0,0.7381126617140858,1.0,8.0,0.4167956416476284
40.0,1541290911446.0,1541290911619.0,0.0,4.0,0.0,5.0,1.0,0.1237144609068982
41.0,1541290912132.0,1541290911767.0,1.0,6.0,1.0,5.0,1.0,0.2202751429445773
42.0,1541290912303.0,1541290912825.0,0.0,8.0,0.4937445495538608,4.0,2.0,0.10190430263617811
43.0,1541290912332.0,1541290913614.0,0.0,1.0,1.0,4.0,4.0,0.3357582373970457
44.0,1541290911295.0,1541290911662.0,1.0,8.0,0.7682053960983609,15.0,0.0,0.08640510325383083
45.0,1541290912228.0,1541290912241.0,0.0,4.0,0.788851052465926,6.0,3.0,0.45206610546711934
46.0,1541290911816.0,1541290912718.0,1.0,3.0,0.09344758520274132,6.0,4.0,0.48897642331342883
47.0,1541290912454.0,1541290912741.0,0.0,11.0,0.32443381331483795,10.0,0.0,0.15586000997435806
48.0,1541290912037.0,1541290912453.0,0.0,6.0,0.3262630210940016,11.0,2.0,0.2357244205411907
49.0,1541290911940.0,1541290911835.0,0.0,6.0,0.0,8.0,6.0,0.02920711439945803
50.0,1541290912185.0,1541290911497.0,1.0,4.0,1.0,8.0,4.0,0.26796538776398965
51.0,1541290911256.0,1541290911869.0,1.0,2.0,1.0,6.0,10.0,0.19814052640956448
52.0,1541290912085.0,1541290912191.0,1.0,4.0,0.0,11.0,3.0,0.4310016971010221
53.0,1541290911931.0,1541290912571.0,1.0,10.0,0.3423239154723242,6.0,4.0,0.10859213553914782
54.0,1541290912177.0,1541290913046.0,1.0,2.0,0.4040410573605848,10.0,1.0,0.039887093346728714
55.0,1541290911638.0,1541290911907.0,0.0,11.0,0.8474990091766493,5.0,6.0,0.01808435130031305
56.0,1541290912324.0,1541290913231.0,0.0,9.0,0.47800982733830044,12.0,2.0,0.4546138456072782
57.0,1541290911823.0,1541290911958.0,1.0,9.0,0.4793586747432852,6.0,4.0,0.30554794950894165
58.0,1541290911567.0,1541290912242.0,1.0,7.0,1.0,5.0,9.0,0.039038267730359344
59.0,1541290911636.0,1541290911526.0,1.0,6.0,1.0,8.0,4.0,0.401058938729677
60.0,1541290912067.0,1541290913531.0,0.0,5.0,0.5475510893577322,7.0,3.0,0.09962671845608458
61.0,1541290912040.0,1541290913063.0,1.0,6.0,0.7678987466748313,8.0,2.0,0.1862423868497407
62.0,1541290912187.0,1541290912507.0,0.0,5.0,1.0,14.0,3.0,0.31263019005758624
63.0,1541290911294.0,1541290911834.0,1.0,5.0,1.0,7.0,1.0,0.1423230568440405
64.0,1541290912523.0,1541290913212.0,0.0,6.0,0.6763468830138947,10.0,4.0,0.1187201527824914
65.0,1541290911605.0,1541290911514.0,1.0,12.0,0.07411550155246116,2.0,0.0,0.023227875093879302
66.0,1541290911884.0,1541290912582.0,1.0,7.0,0.0,6.0,2.0,0.5999997123024472
67.0,1541290911849.0,1541290912662.0,1.0,8.0,1.0,10.0,0.0,0.008084088078947588
68.0,1541290911864.0,1541290912558.0,1.0,5.0,1.0,6.0,0.0,0.16726898687538988
69.0,1541290912019.0,1541290911977.0,1.0,8.0,0.8258716585335936,5.0,0.0,0.05784089409064727
70.0,1541290912172.0,1541290913501.0,1.0,6.0,1.0,9.0,2.0,0.21391405677732744
71.0,1541290912233.0,1541290912403.0,1.0,9.0,0.6724745378855614,6.0,1.0,0.2789671112906031
72.0,1541290912304.0,1541290913046.0,0.0,8.0,0.6106756999721701,5.0,2.0,0.18319221749669207
73.0,1541290912345.0,1541290912738.0,1.0,10.0,1.0,12.0,0.0,0.33089355689703237
74.0,1541290912178.0,1541290912763.0,1.0,7.0,0.0,2.0,2.0,0.2842311262278397
75.0,1541290911297.0,1541290911698.0,0.0,8.0,0.0,11.0,5.0,0.05942974937066456
76.0,1541290912440.0,1541290912715.0,0.0,11.0,0.18604775057363332,4.0,0.0,0.21410153661933085
77.0,1541290912483.0,1541290913091.0,1.0,7.0,1.0,10.0,1.0,0.14828091485950667
78.0,1541290911696.0,1541290912377.0,1.0,4.0,0.11969096354335185,10.0,0.0,0.1395171687670011
79.0,1541290911747.0,1541290911908.0,0.0,2.0,0.9338978427919461,9.0,6.0,0.05992099979081836
80.0,1541290911591.0,1541290912088.0,0.0,5.0,0.6969318673536958,5.0,2.0,0.26365577624531855
81.0,1541290911807.0,1541290913052.0,1.0,7.0,0.07158076309036543,3.0,1.0,0.34187008611320513
82.0,1541290911676.0,1541290912371.0,0.0,10.0,0.9043268717795846,4.0,0.0,0.1801602116684885
83.0,1541290911906.0,1541290912570.0,1.0,8.0,0.6155062220688672,7.0,0.0,0.33121530635251617
84.0,1541290911494.0,1541290912258.0,1.0,7.0,0.7088843697773717,7.0,0.0,0.3468632504190634
85.0,1541290912375.0,1541290912628.0,1.0,5.0,0.7577454865718822,6.0,0.0,0.5257951196470676
86.0,1541290912239.0,1541290913026.0,1.0,9.0,0.9751824612443123,7.0,3.0,0.5035674769172723
87.0,1541290912537.0,1541290912835.0,1.0,11.0,0.6516806895722368,7.0,3.0,0.008196864041779689
88.0,1541290912306.0,1541290913057.0,1.0,6.0,1.0,10.0,6.0,0.08440007257342606
89.0,1541290911965.0,1541290912677.0,1.0,3.0,0.09803643886870606,13.0,1.0,0.30067621020748814
90.0,1541290911515.0,1541290912756.0,0.0,9.0,0.7289832940015221,5.0,3.0,0.23254023224799378
91.0,1541290912930.0,1541290913342.0,1.0,6.0,0.7794852425142299,6.0,8.0,0.3296922741468687
92.0,1541290911981.0,1541290912712.0,0.0,12.0,1.0,5.0,0.0,0.0009336529925127734
93.0,1541290912114.0,1541290913273.0,1.0,10.0,0.8458557539302558,5.0,4.0,0.3035916664739916
94.0,1541290912360.0,1541290913359.0,1.0,11.0,0.0,9.0,2.0,0.0050689136956886816
95.0,1541290911458.0,1541290911819.0,1.0,7.0,0.6856157359802657,8.0,6.0,0.2544710305142184
96.0,1541290912735.0,1541290912803.0,1.0,5.0,1.0,10.0,2.0,0.0906627380643909
97.0,1541290911879.0,1541290912755.0,1.0,4.0,0.8812991461107917,2.0,1.0,0.24060551483712372
98.0,1541290911504.0,1541290911703.0,0.0,8.0,0.8209554012047333,9.0,3.0,0.22704243204957286
99.0,1541290911863.0,1541290912898.0,0.0,11.0,0.901093576409785,11.0,1.0,0.30753302296597196
100.0,1541290911174.0,1541290911923.0,0.0,3.0,0.7534536385575563,6.0,6.0,0.2062923360661249
101.0,1541290912180.0,1541290912594.0,0.0,5.0,0.0,10.0,1.0,0.3147784475946867
102.0,1541290911487.0,1541290911670.0,1.0,4.0,0.28208118080589434,8.0,8.0,0.24997610471337198
103.0,1541290912519.0,1541290912532.0,1.0,11.0,0.48117088026148047,8.0,7.0,0.006855968744663654
104.0,1541290911897.0,1541290912480.0,0.0,1.0,0.7042446588800142,6.0,1.0,0.11294126368343414
105.0,1541290912454.0,1541290913420.0,1.0,2.0,0.266519550985789,7.0,0.0,0.3740754580006607
106.0,1541290911683.0,1541290912532.0,0.0,8.0,0.8133029168362791,6.0,0.0,0.24252666360223582
107.0,1541290911644.0,1541290912309.0,1.0,8.0,0.9184153956712219,10.0,3.0,0.044616183131277104
108.0,1541290911625.0,1541290912500.0,0.0,12.0,1.0,8.0,1.0,0.16922472376899195
109.0,1541290911911.0,1541290912630.0,1.0,7.0,0.4681611988730283,6.0,1.0,0.1338141207063407
110.0,1541290912142.0,1541290913010.0,1.0,0.0,1.0,7.0,6.0,0.32329702232338786
111.0,1541290912114.0,1541290912982.0,1.0,2.0,1.0,12.0,3.0,0.0783939641540547
112.0,1541290911933.0,1541290912258.0,1.0,5.0,1.0,7.0,0.0,0.23434332162930135
113.0,1541290911059.0,1541290911334.0,1.0,11.0,0.2532852980422866,1.0,2.0,0.13290857282662433
114.0,1541290912389.0,1541290912483.0,1.0,3.0,0.5765217589816186,8.0,0.0,0.08029001643069676
115.0,1541290911806.0,1541290911865.0,0.0,4.0,1.0,3.0,3.0,0.047629353846037226
116.0,1541290911114.0,1541290911767.0,1.0,3.0,0.9071362587157534,2.0,1.0,0.12300694595778466
117.0,1541290911776.0,1541290912377.0,0.0,5.0,0.5630882317393723,5.0,0.0,0.391966392974244
118.0,1541290912964.0,1541290913349.0,1.0,7.0,0.6499315474623674,2.0,6.0,0.1565043596139645
119.0,1541290912496.0,1541290912836.0,0.0,8.0,1.0,8.0,1.0,0.14215185034930333
120.0,1541290912248.0,1541290912981.0,1.0,8.0,0.6792260316336654,10.0,8.0,0.621527885225732
121.0,1541290911849.0,1541290911617.0,1.0,10.0,0.8281992876488034,6.0,0.0,0.37261776513772965
122.0,1541290911691.0,1541290912382.0,0.0,9.0,0.04370105917221534,5.0,3.0,0.3063294247535393
123.0,1541290911936.0,1541290912430.0,1.0,7.0,1.0,4.0,4.0,0.18531144230459595
124.0,1541290912421.0,1541290912652.0,0.0,8.0,0.8738274366978368,7.0,0.0,0.4043749900186261
125.0,1541290911950.0,1541290912562.0,1.0,11.0,0.5881225949937676,13.0,4.0,0.19729535433362005
126.0,1541290911591.0,1541290911314.0,1.0,5.0,0.2201441700871914,4.0,7.0,0.02111471028916395
127.0,1541290912139.0,1541290912346.0,1.0,8.0,0.28424215637822964,7.0,0.0,0.21358356141240425
128.0,1541290912669.0,1541290913055.0,0.0,1.0,0.9817158561164059,9.0,11.0,0.33041982778740386
129.0,1541290911197.0,1541290911062.0,1.0,4.0,0.10398298992954713,0.0,0.0,0.17844620552645382
130.0,1541290911758.0,1541290912081.0,1.0,1.0,1.0,7.0,5.0,0.33463367120645293
131.0,1541290911331.0,1541290912031.0,1.0,7.0,0.3443219726365627,7.0,2.0,0.2564645094055387
132.0,1541290912107.0,1541290912634.0,1.0,10.0,1.0,10.0,0.0,0.49782423829982286
133.0,1541290912503.0,1541290913334.0,1.0,4.0,0.6144812391546549,10.0,14.0,0.3671772924309973
134.0,1541290912286.0,1541290912928.0,0.0,6.0,0.4367262460837075,4.0,4.0,0.25615431789921905
135.0,1541290911470.0,1541290911638.0,1.0,6.0,0.6652164850722592,6.0,2.0,0.059193983500177544
136.0,1541290912128.0,1541290912283.0,0.0,6.0,1.0,10.0,8.0,0.4788485120213279
137.0,1541290912187.0,1541290912496.0,0.0,13.0,0.6309426130373734,6.0,0.0,0.21092477923353606
138.0,1541290911990.0,1541290912443.0,1.0,6.0,0.5840940710450147,5.0,6.0,0.11936688955919271
139.0,1541290911730.0,1541290912471.0,1.0,8.0,0.7766202626026004,4.0,4.0,0.03315430159167679
140.0,1541290912582.0,1541290913212.0,1.0,4.0,0.0,5.0,5.0,0.30198815659715406
141.0,1541290912406.0,1541290912994.0,1.0,7.0,0.7684684175851739,11.0,1.0,0.14661228479087768
142.0,1541290912481.0,1541290913011.0,0.0,6.0,1.0,11.0,4.0,0.22462378310144696
143.0,1541290911995.0,1541290913510.0,0.0,6.0,0.27870831185937966,2.0,9.0,0.16877822117392835
